,funding_rounds,funding_duration_days,total_investment,years_to_first_funding,country_code_encoded,market_encoded,status_encoded
262,1.0,0,900000.0,0.8410958904109589,49,23,2
264,2.0,126,925000.0,2.9972602739726026,49,8,2
265,1.0,0,435400.0,9.567123287671233,49,23,2
266,1.0,0,3500000.0,1.16986301369863,49,19,2
267,1.0,0,450000.0,1.6821917808219178,26,20,2
268,1.0,0,500000.0,3.835616438356164,49,14,2
269,2.0,608,7550000.0,0.0821917808219178,49,17,2
270,1.0,0,6410000.0,8.528767123287672,24,10,2
273,1.0,0,10000000.0,25.443835616438356,49,6,2
274,1.0,0,20000.0,1.8657534246575342,49,19,2
275,4.0,3197,118000000.0,0.25205479452054796,49,19,2
276,8.0,2410,502860000.0,4.835616438356165,49,19,2
277,2.0,433,50000000.0,4.7534246575342465,10,19,2
278,1.0,0,20000000.0,33.04931506849315,49,2,2
279,1.0,0,350000.0,13.512328767123288,49,19,2
280,1.0,0,500000.0,3.0082191780821916,49,2,1
281,2.0,639,6000000.0,-0.4958904109589041,49,19,0
282,1.0,0,20000000.0,8.427397260273972,49,19,2
283,1.0,0,40000000.0,23.2,49,2,2
284,2.0,124,151022.0,1.5780821917808219,6,22,2
285,1.0,0,4260000.0,0.4191780821917808,17,17,2
286,1.0,0,1412834.0,3.728767123287671,18,1,2
287,1.0,0,3356695.0,7.578082191780822,15,7,2
288,1.0,0,500000.0,10.616438356164384,49,1,0
289,1.0,0,3409315.0,36.605479452054794,19,23,2
290,1.0,0,3500000.0,1.8246575342465754,49,23,2
291,6.0,881,4211031.0,6.358904109589041,49,3,2
292,1.0,0,825000.0,0.9808219178082191,49,19,2
293,3.0,1251,400988.0,-0.16164383561643836,7,2,2
294,1.0,0,1770000.0,4.854794520547945,18,23,0
295,1.0,0,4540000.0,7.189041095890411,13,23,2
296,2.0,1095,4400000.0,9.345205479452055,49,5,2
297,1.0,0,2700000.0,25.745205479452054,8,19,2
299,5.0,346,875000.0,0.9945205479452055,49,6,2
300,2.0,729,6790000.0,18.216438356164385,49,14,2
301,1.0,0,375000.0,8.742465753424657,42,19,2
302,1.0,0,25000.0,-0.915068493150685,24,0,1
303,2.0,324,78799653.0,13.441095890410958,19,19,2
304,1.0,0,147000.0,0.4191780821917808,37,22,2
305,1.0,0,2000000.0,4.323287671232877,7,2,2
306,1.0,0,805908.0,6.723287671232876,19,2,2
307,5.0,1319,19148000.0,0.8246575342465754,49,6,2
309,2.0,350,4350000.0,0.9561643835616438,49,2,2
310,3.0,799,39610000.0,12.057534246575342,49,2,2
311,1.0,0,2250180.0,0.8794520547945206,49,2,2
312,1.0,0,60000.0,4.093150684931507,49,9,2
313,1.0,0,1500000.0,3.136986301369863,49,13,2
314,4.0,2671,583000000.0,6.956164383561644,49,13,2
315,2.0,308,9000000.0,5.36986301369863,49,13,2
316,1.0,0,6467283.0,3.5287671232876714,49,5,2
317,2.0,942,8140565.0,4.235616438356164,19,13,2
318,1.0,0,3986362.0,4.786301369863014,8,19,2
319,8.0,1926,25560400.0,2.0,19,19,2
320,4.0,1189,14130737.0,0.936986301369863,49,19,2
321,1.0,0,500000.0,10.150684931506849,49,19,2
322,1.0,0,150000.0,4.175342465753425,49,19,2
323,5.0,762,25930577.0,1.0082191780821919,49,2,2
324,5.0,898,12005448.0,4.627397260273972,49,12,2
325,1.0,0,1273000.0,4.493150684931507,49,23,2
327,1.0,0,3000000.0,5.506849315068493,10,19,2
328,3.0,531,98329011.0,12.167123287671233,4,2,2
329,1.0,0,1000000.0,0.0,49,8,2
331,2.0,162,510000000.0,3.5123287671232877,49,19,2
332,3.0,1631,17087500.0,-3.126027397260274,49,19,2
333,5.0,1265,4139407.0,0.915068493150685,49,5,2
334,3.0,232,7618249.0,2.904109589041096,49,5,2
335,1.0,0,2100000.0,3.4164383561643836,49,23,2
336,1.0,0,2500000.0,5.257534246575342,8,19,2
337,1.0,0,450000.0,3.126027397260274,49,23,2
338,3.0,715,960000.0,2.515068493150685,49,14,2
340,1.0,0,50000.0,3.4684931506849317,49,7,2
341,1.0,0,132500.0,3.717808219178082,49,13,2
342,3.0,1013,2757346.0,1.180821917808219,49,23,2
343,2.0,1249,4250000.0,2.4794520547945207,49,3,2
344,1.0,0,661000.0,3.361643835616438,44,3,2
345,1.0,0,200000.0,2.3534246575342466,49,23,2
346,1.0,0,1287963.0,6.5479452054794525,19,2,2
347,10.0,1644,28364818.0,3.7643835616438355,49,13,2
348,1.0,0,4545754.0,4.6136986301369864,19,10,2
349,1.0,0,1300000.0,4.087671232876712,13,23,2
350,1.0,0,34300806.0,12.520547945205479,19,2,2
351,1.0,0,22009460.0,11.03013698630137,8,2,2
352,1.0,0,15000.0,0.19452054794520549,49,19,2
353,2.0,520,23000000.0,2.9452054794520546,49,25,2
354,1.0,0,762000.0,1.2410958904109588,49,23,2
355,1.0,0,2338650.0,3.9452054794520546,49,14,2
356,2.0,887,33500000.0,5.2465753424657535,19,2,2
357,2.0,2567,244600000.0,13.12054794520548,49,10,2
358,1.0,0,368000.0,2.421917808219178,40,21,2
359,1.0,0,4499999.0,7.580821917808219,7,4,2
360,4.0,2155,17800000.0,-0.8328767123287671,49,22,2
361,1.0,0,10000000.0,5.005479452054795,49,0,2
363,1.0,0,4000000.0,1.0191780821917809,49,10,2
364,3.0,924,16424363.0,4.342465753424658,19,3,2
365,1.0,0,10720178.0,24.435616438356163,19,19,2
366,2.0,92,131568.0,1.252054794520548,1,19,2
367,1.0,0,4710960.0,4.2027397260273975,14,13,2
368,1.0,0,25090000.0,11.252054794520548,24,19,2
369,1.0,0,25478613.0,12.64109589041096,49,6,2
370,3.0,1609,31040000.0,2.186301369863014,7,17,2
371,1.0,0,1270000.0,3.4657534246575343,44,19,2
372,2.0,654,50000000.0,13.008219178082191,49,23,2
373,1.0,0,430000.0,4.7753424657534245,49,2,2
374,4.0,1504,63016244.0,6.227397260273973,49,19,2
375,1.0,0,150000.0,0.9780821917808219,49,17,2
376,2.0,874,3255325.0,12.852054794520548,49,23,2
377,2.0,522,8500000.0,1.3863013698630138,49,1,2
378,3.0,1437,4045500.0,5.3561643835616435,49,8,2
379,6.0,1969,113701127.0,2.5863013698630137,49,2,2
380,7.0,703,457282.0,-0.5835616438356165,49,10,1
381,3.0,1488,5705841.0,8.372602739726027,49,23,2
382,2.0,65,13410901.0,13.016438356164384,49,8,2
383,2.0,1477,28500000.0,2.747945205479452,49,19,2
384,2.0,1674,25000000.0,0.7479452054794521,49,19,2
386,1.0,0,4000000.0,1.9917808219178081,49,14,2
387,2.0,503,775000.0,10.10958904109589,49,14,2
388,1.0,0,2000000.0,7.095890410958904,24,5,2
389,1.0,0,1500000.0,12.164383561643836,49,23,0
390,4.0,1915,25305000.0,3.7095890410958905,49,19,0
391,3.0,743,3020000.0,0.4136986301369863,49,23,2
392,5.0,3326,138581610.0,3.7095890410958905,49,2,2
393,3.0,700,7131124.0,1.2602739726027397,49,20,0
394,3.0,943,13793098.0,8.172602739726027,49,13,0
395,1.0,0,30000000.0,5.109589041095891,49,20,2
396,1.0,0,46900000.0,16.043835616438358,49,13,2
397,2.0,103,352500.0,3.484931506849315,49,17,2
398,2.0,365,3200000.0,2.249315068493151,49,0,2
399,1.0,0,1999998.0,10.901369863013699,49,19,0
400,1.0,0,4500000.0,1.4301369863013698,41,19,2
401,1.0,0,250000.0,0.38082191780821917,49,2,2
402,6.0,989,21376001.0,5.767123287671233,49,13,0
403,2.0,0,45000000.0,26.21917808219178,49,8,2
404,2.0,798,20000000.0,5.83013698630137,49,19,2
405,2.0,202,23000000.0,50.964383561643835,49,19,2
406,1.0,0,2800000.0,19.745205479452054,49,19,2
407,4.0,673,4979639.0,10.167123287671233,49,1,2
408,2.0,67,90000.0,0.3315068493150685,49,19,2
409,1.0,0,10000000.0,60.12602739726027,49,12,2
410,3.0,1280,33331814.0,16.715068493150685,49,21,2
411,4.0,1573,53744444.0,3.0575342465753423,49,19,2
412,2.0,156,20600000.0,1.4547945205479451,49,19,2
413,1.0,0,1200000.0,2.8054794520547945,49,2,2
415,2.0,542,8500000.0,4.002739726027397,28,19,2
416,4.0,1300,34072000.0,1.6054794520547946,49,10,2
418,2.0,1390,32000000.0,15.104109589041096,49,8,2
419,1.0,0,3315000.0,8.509589041095891,49,23,2
420,1.0,0,1000000.0,12.391780821917807,49,2,2
421,3.0,1099,12024769.0,0.4,49,2,2
422,1.0,0,650000.0,14.93972602739726,49,23,2
423,1.0,0,760000.0,0.13972602739726028,49,14,2
424,9.0,3759,110640466.0,7.375342465753425,49,2,0
425,4.0,1637,12050000.0,3.0,44,19,2
426,1.0,0,8033458.0,14.843835616438357,19,23,2
427,1.0,0,6321095.0,3.706849315068493,19,13,2
428,1.0,0,2500000.0,13.438356164383562,49,19,2
429,2.0,890,4277507.0,6.854794520547945,49,23,2
430,1.0,0,2100000.0,7.183561643835616,49,23,2
431,1.0,0,329695.0,1.6356164383561644,19,12,2
432,4.0,2299,8198838.0,6.501369863013698,49,20,0
433,2.0,921,30500000.0,5.572602739726028,49,12,2
434,3.0,1495,1245092.0,4.375342465753425,49,19,2
435,1.0,0,104594.0,3.164383561643836,25,19,2
436,5.0,1397,18700000.0,1.5835616438356164,49,0,2
437,1.0,0,75000.0,1.2465753424657535,49,19,2
438,1.0,0,5000000.0,24.016438356164382,49,19,2
439,1.0,0,8700000.0,12.323287671232876,49,14,2
440,1.0,0,150594138.0,36.21095890410959,47,19,2
441,1.0,0,600000.0,0.6,49,13,2
442,1.0,0,4880000.0,7.413698630136986,7,21,1
443,2.0,266,737630.0,1.4712328767123288,49,10,2
444,1.0,0,3638201.0,4.328767123287672,49,23,2
446,6.0,1458,151250000.0,1.5835616438356164,49,2,2
447,1.0,0,5280000.0,6.556164383561644,49,8,0
448,1.0,0,30000.0,0.0,6,0,2
449,3.0,2355,100905707.0,2.7753424657534245,49,13,2
450,3.0,1462,66500000.0,5.772602739726027,49,3,2
451,3.0,1341,13274403.0,0.24383561643835616,19,24,2
452,1.0,0,150000.0,2.356164383561644,49,23,2
453,1.0,0,9000000.0,7.564383561643836,49,23,2
454,1.0,0,100000.0,0.5726027397260274,34,19,2
455,3.0,392,3600000.0,2.6575342465753424,49,8,2
456,4.0,1154,49122326.0,13.58904109589041,49,19,2
457,1.0,0,2500000.0,18.03287671232877,19,8,2
458,1.0,0,50100000.0,12.635616438356164,49,13,2
459,5.0,2268,135776263.0,3.063013698630137,49,21,2
460,1.0,0,1250000.0,1.989041095890411,49,19,2
461,1.0,0,100000000.0,18.77260273972603,24,17,2
462,1.0,0,1400000.0,1.0356164383561643,49,19,2
463,2.0,171,13800000.0,0.9643835616438357,45,6,2
464,1.0,0,7300000.0,0.42191780821917807,49,19,0
465,3.0,1160,1998000.0,2.9917808219178084,14,12,2
467,1.0,0,592000.0,6.049315068493151,19,23,2
468,1.0,0,20000000.0,4.465753424657534,49,23,0
469,3.0,651,8960000.0,0.2547945205479452,49,19,2
470,1.0,0,976865.0,1.1863013698630136,19,3,2
471,1.0,0,7974296.0,15.287671232876713,49,23,0
472,4.0,1336,15000000.0,4.841095890410959,49,3,2
473,1.0,0,808211.0,0.3972602739726027,19,19,2
474,1.0,0,40000.0,1.0191780821917809,49,5,0
475,7.0,2447,118500000.0,0.5863013698630137,49,8,2
476,3.0,898,12100000.0,8.627397260273973,7,19,2
477,1.0,0,20000000.0,4.079452054794521,49,10,2
478,1.0,0,11000000.0,2.0,43,19,2
479,1.0,0,20292075.0,4.265753424657534,49,10,2
480,1.0,0,12879637.0,17.175342465753424,19,6,2
481,1.0,0,150000.0,3.9178082191780823,11,8,2
482,1.0,0,6000000.0,10.624657534246575,49,8,2
483,6.0,766,26980000.0,0.3452054794520548,49,2,2
484,5.0,1327,72500000.0,2.654794520547945,49,19,2
485,1.0,0,22123893.0,6.586301369863014,49,3,2
486,3.0,505,116987.0,0.043835616438356165,25,19,2
487,6.0,2366,57616859.0,9.005479452054795,49,19,2
488,1.0,0,15600000.0,9.698630136986301,49,23,2
489,1.0,0,137500.0,8.652054794520549,49,4,2
490,5.0,1341,207500000.0,1.0547945205479452,49,8,2
491,1.0,0,3759300.0,3.5452054794520547,18,23,2
493,2.0,810,7000720.0,11.846575342465753,49,2,2
494,2.0,1434,600000.0,0.2136986301369863,49,2,2
495,5.0,2617,58200000.0,0.2465753424657534,49,17,0
496,2.0,61,100000.0,1.6657534246575343,49,19,2
498,1.0,0,1000000.0,1.0986301369863014,13,0,2
499,1.0,0,400000.0,-12.652054794520549,26,0,2
500,1.0,0,250000.0,0.0,40,19,2
501,1.0,0,500000.0,1.021917808219178,14,19,2
502,1.0,0,1510005.0,3.1534246575342464,49,23,2
503,1.0,0,250000.0,3.926027397260274,7,10,2
504,2.0,365,6000000.0,0.7095890410958904,49,17,2
505,1.0,0,900000.0,0.5863013698630137,4,19,2
506,1.0,0,25000000.0,8.057534246575342,49,23,2
507,1.0,0,40000.0,6.739726027397261,49,23,2
508,2.0,2215,2310008.0,2.175342465753425,19,23,2
509,2.0,453,22585000.0,5.890410958904109,13,2,0
510,2.0,971,950000.0,3.0136986301369864,49,13,2
511,3.0,827,16000000.0,0.0,49,13,2
512,1.0,0,40000.0,4.36986301369863,49,2,2
513,2.0,1284,705000.0,1.356164383561644,49,11,2
514,1.0,0,1120000.0,2.0054794520547947,35,23,2
515,5.0,2242,22500000.0,1.5835616438356164,49,8,2
516,11.0,3170,99717506.0,0.5616438356164384,49,2,2
517,1.0,0,35000000.0,29.61917808219178,49,0,2
518,1.0,0,1300000.0,4.852054794520548,49,6,2
519,3.0,1122,925000.0,3.3013698630136985,49,2,2
520,2.0,1216,11500000.0,0.0,10,0,2
521,10.0,3754,214208700.0,0.08493150684931507,49,23,0
522,4.0,1029,16400000.0,1.0904109589041096,49,8,1
523,1.0,0,5000.0,0.3589041095890411,49,4,2
524,1.0,0,6000000.0,7.457534246575342,49,21,2
525,1.0,0,1054991.0,7.663013698630137,18,19,2
526,1.0,0,20000.0,0.8794520547945206,48,19,2
527,1.0,0,4099999.0,2.558904109589041,49,19,2
528,1.0,0,899955.0,1.819178082191781,49,7,2
